Cutoff,Time (2 threads),Time (4 threads),Time (8 threads),Time (16 threads)
17850,195,148,172,187
18200,109,101,102,107
18550,92,60,43,48
18900,90,49,28,27
19250,84,24,56,26
19600,52,24,20,55
19950,61,24,20,26
20300,30,46,24,28
20650,29,23,45,24
21000,31,24,51,34
21350,32,23,27,41
21700,33,23,25,48
22050,31,44,22,25
22400,30,25,23,22
22750,29,22,20,23
23100,30,23,21,23
23450,27,22,21,23
23800,27,22,22,23
24150,29,20,22,24
24500,30,21,22,25
24850,27,20,40,25
25200,27,21,22,24
25550,26,22,22,24
25900,22,22,24,23
26250,22,34,23,22
26600,22,27,23,22
26950,25,22,22,22
27300,48,23,21,23
27650,26,23,23,23
28000,24,22,22,51
28350,25,22,22,33
28700,25,21,23,32
29050,23,21,23,28
29400,24,22,23,27
29750,25,22,22,28
30100,26,22,23,31
30450,40,22,22,38
30800,26,23,26,35
31150,22,21,28,33
31500,28,23,30,31
31850,35,21,31,31
32200,31,21,29,30
32550,27,22,30,31
32900,25,22,28,33
33250,25,21,30,34
33600,24,24,30,31
33950,25,23,32,32
34300,27,22,33,31
34650,28,22,30,34
35000,25,23,32,33